tanggal;importir;nama_pemasok;deskripsi_barang;harga_satuan;nilai_invoice;netto_barang;pelabuhan_masuk;negara_asal
29/01/2024 00:00;Perum Halimah Tbk;CV USda Wulandari;kursi roda lipat;99725.53;1226664.6;508.55;Makassar;MY
13/01/2024 00:00;CV Gunarto Uyainah Tbk;UD Sitompul Permata;pintu aluminium;994.08;105372.16;872.38;Soekarno-Hatta;SG
24/01/2024 00:00;CV Hassanah Wijaya;PD Siregar;tenda camping kapasitas orang;68983.5;87531.25;175.32;Belawan;KR
27/01/2024 00:00;Garza LLC;CV Prasasta SUSnti;alat pancing lengkap;981.52;10796.7;565.1;Tanjung Emas;US
24/01/2024 00:00;CV Sihombing Wibisono;UD Mahendra (Persero) Tbk;pakaian wanita;11975.4;182399.5;940.03;Soekarno-Hatta;CN
14/01/2024 00:00;Garza LLC;Perum Prabowo Kusumo (Persero) Tbk;pakaian wanita;975.04;26326.21;807.8;Tanjung Emas;SG
23/01/2024 00:00;PD Yulianti Budiman;CV Waskita;kursi roda lipat;745268.82;506752.83;581.1;Makassar;JP
03/01/2024 00:00;CV Widodo;CV Mandala;tangki air;3970.1;433999.27;162.66;Tanjung Priok;KY
30/01/2024 00:00;PD Yulianti Budiman;Perum Siregar;printer laserjet;2967.7;955764750.82;8.1;Belawan;IN
18/01/2024 00:00;CV Hassanah Wijaya;PD Halim;jarum suntik;2617.34;389982.95;501.09;Batam;SG
05/01/2024 00:00;CV Sihombing Wibisono;PT Melani USmah (Persero) Tbk;tenda camping kapasitas orang;1317.09;198880.92;5646.41;Makassar;TH
19/01/2024 00:00;PD Hutagalung Purnawati Tbk;Perum Anggriawan Hartati Tbk;modul elektronik arduino;4651.34;162796.87;155.69;Makassar;US
13/01/2024 00:00;CV Gunarto Uyainah Tbk;CV Melani (Persero) Tbk;pintu aluminium;1844.02;22128.3;523.29;Bitung;JP
13/01/2024 00:00;CV Gunarto Uyainah Tbk;PD Najmudin (Persero) Tbk;pintu aluminium;2955164.35;443274652.67;466.76;Makassar;DE
01/01/2024 00:00;CV Sihombing Wibisono;CV Habibi Pudjiastuti Tbk;masker bedah lapis;4238.89;309438.65;428.99;Makassar;VN
03/01/2024 00:00;CV Widodo;Perum Suwarno Wibowo;tangki air;951.25;118957.44;315.11;Belawan;US
11/01/2024 00:00;PD Yulianti Budiman;UD Saefullah Tbk;besi hollow galvanis;3283.6;6567.2;385.28;Makassar;SG
